Question,Answer
<p>SPG</p>,<p>Sicherheitspolizeigesetz</p>
<p>Wie unterteilt die Verfassung unter objektivem Recht gewährleistete Rechte?</p>,<p>Nach Adressatenkreis in Staatsbürgerrechte und Menschenrechte</p>
<p>Drittwirkung der Grundrechte</p>,"<ul><li>Durch Trennung von Staat und Gesellschaft gibt es <strong>keine Drittwirkung</strong></li><li>Grundrechte gelten nur gegen den Staat, nicht Mensch gegen Mensch</li><li>Ausnahmen:</li><li class=""ql-indent-1"">gesetzlich angeordnete Drittwirkungen (z.B.: Datenschutzgesetz)</li><li class=""ql-indent-1"">Grundrechte mit staatlicher Schutzpflicht (Recht auf Leben)</li><li class=""ql-indent-1"">Mittelbare Drittwirkung im Zivilrecht (Auslegung, Sittenklauseln)</li></ul>"
<p>Wo werden über Verstöße gegen Grundrechte entschieden?</p>,<p>OGH</p>
<p>Wo werden in der Regel über Verstöße gegen subjektives Recht entschieden?</p>,<p>im VfGH</p>
<p>Wie wird der Schutzbereich eines Grundrechts festgelegt?</p>,"<p>Die Verfassung die ein Grundrecht normiert, legt den Schutzbereich mit dem Wortlaut des Verfassungstextes fest. Diese Begriffe sind allerdings auslegungsbedürftig (z.&nbsp;B.: Eigentumsfreiheit hat den Schutzbereich ""Eigentum"")</p>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Grundrechtsquellen: Einzelne Grundrechte in Staatsverträgen</span></p>",<ul><li>Rechte der Minderheiten</li><li>Religionsfreiheit</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Grundrechtsquellen: Grundrechte in einfachen Gesetzen</span></p>",<ul><li>Recht auf Zivildienst</li><li>Recht auf Datenschutz</li></ul>
<p>Grundrechtsquellen: Grundrechte im B-VG</p>,<ul><li>Gleichheitssatz</li><li>Gesetzlicher Richter</li><li>Recht der Richter auf Unabhängigkeit</li><li>Recht der Gemeinden auf Selbstverwaltung</li></ul>
<p>Grundrechtsquellen</p>,<p>Quellen:</p><ul><li>Grundrechtskataloge</li><li>Grundrechtsgesetze</li><li>Grundrechte im B-VG</li><li>Grundrechte in einfachen Gesetzen</li><li>Einzelne Grundrechte in Staatsverträgen</li></ul>
<p>Grundrechtsquellen: Grundrechtsgesetze</p><p><br></p>,<ul><li>Hausrechts Gesetz </li><li>Beschluss der provisorischen Nationalversammlung über die Aufhebung der Zensur 1918</li><li>PersFrG (Bundesverfassungsgesetz zum Schutz der persönlichen Freiheit)</li></ul>
